20,1640.5,38.0357142857143,,,
20,1691.08333333333,35.1111111111111,,,
20,1741,33.75,,,
20,1805.5,40.5882352941176,,,
20,1846.25,40.7407407407407,,,
30,206.666666666667,,128.4375,,
30,220.416666666667,,98.2608695652174,,
30,234.416666666667,,81.7391304347826,,
30,298.916666666667,,143.076923076923,,
30,567.333333333333,,58.421052631579,,
30,1217.16666666667,,43.0188679245283,,
30,1425.08333333333,,50.3030303030303,,
30,1444.33333333333,,73.8461538461539,,
30,1463.66666666667,,75,Mean 200mm,Mean 300 mm
30,1479.41666666667,,73.2203389830509,#DIV/0!,70.8722902170453
30,1669.33333333333,,73.695652173913,,
30,1712.83333333333,,73.9024390243903,,
30,1777.16666666667,,69.6774193548387,,
30,1830,,71.3333333333333,,
30,1860.33333333333,,77.4193548387097,,
(off) 30,1189.5,,51.8181818181818,,
(off) 30,1397.08333333333,,75.9116022099447,,
230316-17,Midpoint,Q/(uL/min),Q/(uL/min),,
h/cm,time/min,h=200mm,h=300 mm,,
