t(midpoint)/min,20 cm 0Hz,"30 cm, 0Hz","30 cm, 3 Hz",20 cm 3Hz
0,,,,
4.5833333333333,,80.7272727272727,,
16.0833333333333,,81.3559322033898,,
27,,,123.6,
38.9166666666667,,112.881355932203,,
48.1666666666667,,,127.5,
54,,101.538461538462,,
67.0833333333333,46.3917525773196,,,
81.0833333333333,,,,42.1276595744681
97.5416666666667,33.1221719457014,,,
117.416666666667,,,,44.5544554455446
138.041666666667,31.6049382716049,,,
168.25,,49.6932515337423,,
189.416666666667,,,64.6153846153846,
243.583333333333,27.36,,,
257.416666666667,,,,111.428571428571
281.916666666667,28.6829268292683,,,
308,,,,43.1707317073171
330.708333333333,29.5145631067961,,,
355.291666666667,,53.7556561085973,,
374.125,,,66.4406779661017,
434.333333333333,,50.6666666666667,,
455,26.3636363636364,,,
496.083333333333,,,,47.710843373494
520.083333333333,30.828729281768,,,
1398.16666666667,26.7391304347826,,,
1421.91666666667,,,,37.8947368421053
1444.36666666667,29.8989898989899,,,
1469.41666666667,,62.3300970873786,,
1485.25,,,67.1641791044776,
1501.83333333333,,56.1111111111111,,
